Year,Age_Group,NumVisits,Age_adjusted_rate,countyfips,County,zip,Lat,Lng
2012,AllAges,14.0,79.8,6063,PLUMAS,"96020
(40.307064235000496, -121.23192884499969)",40.307064235000496, -121.23192884499969
2012,AllAges,81.0,51.8,6103,TEHAMA,"96021
(39.92734117000049, -122.18357629499968)",39.92734117000049, -122.18357629499968
2012,Children (0-17),41.0,91.0,6103,TEHAMA,"96021
(39.92734117000049, -122.18357629499968)",39.92734117000049, -122.18357629499968
2012,Adults (18+),40.0,38.2,6103,TEHAMA,"96021
(39.92734117000049, -122.18357629499968)",39.92734117000049, -122.18357629499968
2012,AllAges,37.0,27.1,6089,SHASTA,"96022
(40.351722202000474, -122.3263097249997)",40.351722202000474, -122.3263097249997
2012,Children (0-17),13.0,35.7,6089,SHASTA,"96022
(40.351722202000474, -122.3263097249997)",40.351722202000474, -122.3263097249997
2012,Adults (18+),24.0,24.1,6089,SHASTA,"96022
(40.351722202000474, -122.3263097249997)",40.351722202000474, -122.3263097249997
2012,AllAges,18.0,48.2,6103,TEHAMA,"96035
(40.04574257000047, -122.1704674129997)",40.04574257000047, -122.1704674129997
2012,Adults (18+),13.0,46.5,6103,TEHAMA,"96035
(40.04574257000047, -122.1704674129997)",40.04574257000047, -122.1704674129997
2012,AllAges,24.0,69.4,6103,TEHAMA,"96055
(40.0553102720005, -122.1006257949997)",40.0553102720005, -122.1006257949997
2012,Adults (18+),18.0,68.8,6103,TEHAMA,"96055
(40.0553102720005, -122.1006257949997)",40.0553102720005, -122.1006257949997
2012,AllAges,28.0,51.3,6093,SISKIYOU,"96067
(41.31548352700048, -122.31934902599971)",41.31548352700048, -122.31934902599971
2012,Adults (18+),19.0,42.4,6093,SISKIYOU,"96067
(41.31548352700048, -122.31934902599971)",41.31548352700048, -122.31934902599971
2012,AllAges,197.0,70.8,6103,TEHAMA,"96080
(40.17913423900046, -122.2455969029997)",40.17913423900046, -122.2455969029997
2012,Children (0-17),52.0,73.1,6103,TEHAMA,"96080
(40.17913423900046, -122.2455969029997)",40.17913423900046, -122.2455969029997
2012,Adults (18+),145.0,70.0,6103,TEHAMA,"96080
(40.17913423900046, -122.2455969029997)",40.17913423900046, -122.2455969029997
2012,AllAges,13.0,29.7,6089,SHASTA,"96088
(40.50605245300045, -121.8795388799997)",40.50605245300045, -121.8795388799997
2012,AllAges,33.0,95.6,6105,TRINITY,"96093
(40.735151558000496, -122.94585971399971)",40.735151558000496, -122.94585971399971
2012,Adults (18+),27.0,105.5,6105,TRINITY,"96093
(40.735151558000496, -122.94585971399971)",40.735151558000496, -122.94585971399971
2012,AllAges,19.0,31.5,6093,SISKIYOU,"96094
(41.45600100500047, -122.38445893399972)",41.45600100500047, -122.38445893399972
2012,Adults (18+),14.0,30.4,6093,SISKIYOU,"96094
(41.45600100500047, -122.38445893399972)",41.45600100500047, -122.38445893399972
2012,AllAges,59.0,67.7,6093,SISKIYOU,"96097
(41.723731554000494, -122.6388068659997)",41.723731554000494, -122.6388068659997
